,hex9,value
442,891f165460bffff,2100.6614
443,891f16546cbffff,2619.4624
444,891f16546cfffff,2330.84
445,891f165461bffff,2051.5593
446,891f1654603ffff,1786.8558
447,891f16546dbffff,2400.0234
448,891f16546c3ffff,2073.4602
449,891f16546c7ffff,1795.3782
450,891f1654613ffff,1510.4529
451,891f16546d3ffff,1850.2325
452,891f1657337ffff,2941.7698
453,891f1657313ffff,2254.8755
454,891f1657317ffff,2648.745
455,891f16573abffff,3011.167
456,891f16573afffff,2751.1545
457,891f165738fffff,2186.0796
458,891f16573bbffff,2638.742
459,891f16573a3ffff,2610.291
460,891f16573a7ffff,2217.4268
461,891f1657383ffff,1742.4789
462,891f1654627ffff,1156.3405
463,891f1654607ffff,1472.601
464,891f1654633ffff,1188.1517
465,891f1654637ffff,929.4734
466,891f16540cbffff,651.09393
467,891f1654617ffff,1241.0541
468,891f16546abffff,951.266
469,891f16546afffff,646.94165
470,891f16540dbffff,417.56873
471,891f16546bbffff,712.6889
472,891f1657387ffff,2169.7312
473,891f16573b3ffff,2457.7083
474,891f16573b7ffff,2104.5645
475,891f165716bffff,1700.6078
476,891f1657397ffff,1706.1748
477,891f165714bffff,2068.5054
478,891f165714fffff,2041.6732
479,891f165717bffff,1577.8396
480,891f165715bffff,1581.3323
481,891f1657143ffff,1897.2771
482,891f16546d7ffff,1553.5144
483,891f165468bffff,1276.8136
484,891f165468fffff,989.7644
485,891f165716fffff,1328.9235
486,891f165469bffff,1022.59784
487,891f1654683ffff,709.165
488,891f1654687ffff,447.85165
489,891f1657163ffff,1169.1787
490,891f1657167ffff,774.01587
491,891f1654693ffff,509.73755
492,891f16546a3ffff,451.2911
493,891f16546a7ffff,203.48503
494,891f16540d3ffff,170.89919
495,891f16546b3ffff,293.95056
496,891f16546b7ffff,219.89046
497,891f165446bffff,399.00958
498,891f165444bffff,172.38173
499,891f165444fffff,510.82602
500,891f165447bffff,516.7667
501,891f1654463ffff,705.7833
502,891f1657147ffff,1578.0276
503,891f1657173ffff,1092.6
504,891f1657027ffff,1097.0146
505,891f1657153ffff,1440.169
506,891f1657157ffff,1502.6963
507,891f165710bffff,1082.1241
508,891f16571cbffff,983.01575
509,891f16571cfffff,1209.139
510,891f165711bffff,1053.2446
511,891f1657103ffff,617.73944
512,891f1654697ffff,258.54947
513,891f1657177ffff,636.5188
514,891f165712bffff,251.08145
515,891f165712fffff,210.03615
516,891f165445bffff,369.49026
517,891f165710fffff,608.2033
518,891f165713bffff,190.28517
519,891f1657123ffff,273.42157
520,891f1657127ffff,590.80566
521,891f1657107ffff,247.578
522,891f1654217ffff,651.18506
523,891f16542abffff,417.32193
524,891f16542afffff,216.30203
525,891f16543dbffff,124.88631
526,891f16542bbffff,461.61853
527,891f16542a3ffff,540.01196
528,891f16542a7ffff,444.26718
529,891f1654287ffff,161.16818
530,891f16542b3ffff,147.13469
531,891f16542b7ffff,256.25323
532,891f16543afffff,69.07649
533,891f16543bbffff,311.93118
534,891f16543a3ffff,257.55646
535,891f16543a7ffff,367.29788
536,891f1654ed3ffff,316.87585
537,891f1654387ffff,671.1295
538,891f16543b3ffff,714.3762
539,891f16543b7ffff,639.00775
540,891f165416bffff,228.8778
541,891f165414bffff,566.9769
542,891f165438bffff,178.61246
543,891f165438fffff,427.9646
544,891f165406fffff,155.37816
545,891f165439bffff,147.54533
546,891f1654383ffff,456.29404
547,891f1654063ffff,149.998
548,891f1654067ffff,293.15338
549,891f1654393ffff,102.88246
550,891f1654397ffff,304.88397
551,891f1654077ffff,436.60007
552,891f165406bffff,371.49292
553,891f165404bffff,385.5393
554,891f165404fffff,224.89413
555,891f165407bffff,126.29757
556,891f165405bffff,863.29913
557,891f1654043ffff,698.8433
558,891f1654047ffff,482.79208
559,891f1654073ffff,178.2885
560,891f1654053ffff,801.123
561,891f1654057ffff,354.17224
562,891f165414fffff,724.3233
563,891f165417bffff,447.10443
564,891f1654163ffff,180.3963
565,891f1654143ffff,258.6671
566,891f1654147ffff,394.7129
567,891f1654173ffff,172.06262
568,891f1654177ffff,381.02264
569,891f1654153ffff,220.30397
570,891f1654157ffff,115.81854
571,891f165410bffff,136.01093
572,891f165402bffff,487.88425
573,891f165402fffff,210.49252
574,891f165415bffff,129.9404
575,891f165403bffff,387.6197
576,891f1654023ffff,611.51996
577,891f1654027ffff,421.36218
578,891f1654007ffff,122.63124
579,891f1654033ffff,449.69797
580,891f1654037ffff,838.39026
581,891f16541cbffff,692.0705
582,891f165400fffff,232.08234
583,891f16540cfffff,292.12808
584,891f165401bffff,181.03961
585,891f1654003ffff,337.37634
586,891f16540c3ffff,181.76213
587,891f16540c7ffff,224.09038
588,891f1654013ffff,533.6434
589,891f1654017ffff,378.7519
590,891f16540d7ffff,405.59607
591,891f165408bffff,728.98456
592,891f165410fffff,84.891396
593,891f16541cfffff,544.35547
594,891f165411bffff,421.96222
595,891f1654103ffff,117.93663
596,891f1654107ffff,366.17618
597,891f16541c3ffff,1008.42773
598,891f16541c7ffff,816.8646
599,891f1654113ffff,404.63226
600,891f1654117ffff,301.80527
601,891f16541d7ffff,1152.1189
602,891f165418bffff,508.46558
603,891f165418fffff,154.08644
604,891f16541bbffff,541.97003
605,891f165419bffff,638.8286
606,891f1654183ffff,251.44487
607,891f1654187ffff,275.71976
608,891f16541b3ffff,839.42883
609,891f1654193ffff,227.716
610,891f1654197ffff,142.12227
611,891f1656a4bffff,477.0251
612,891f16540abffff,260.20096
613,891f16540afffff,686.9739
614,891f16541dbffff,1034.8278
615,891f16540a3ffff,444.17566
616,891f16540a7ffff,860.15625
617,891f16541d3ffff,1076.5303
618,891f16545c7ffff,1338.9658
619,891f16545d7ffff,1115.4847
