,hex9,value
443,891f16013dbffff,80.404854
444,891f1601403ffff,105.28331
445,891f1601407ffff,109.304825
446,891f160140bffff,104.57916
447,891f160140fffff,111.79589
448,891f1601413ffff,94.86863
449,891f1601417ffff,104.90279
450,891f160141bffff,95.91112
451,891f1601423ffff,92.93224
452,891f1601427ffff,82.42764
453,891f160142bffff,100.16973
454,891f160142fffff,86.56024
455,891f1601433ffff,99.07949
456,891f1601437ffff,89.19507
457,891f160143bffff,103.810974
458,891f1601443ffff,98.298645
459,891f1601447ffff,106.965126
460,891f160144bffff,89.97435
461,891f160144fffff,100.31094
462,891f1601453ffff,90.531334
463,891f1601457ffff,98.77805
464,891f160145bffff,90.98099
465,891f1601463ffff,114.06119
466,891f1601467ffff,103.52449
467,891f160146bffff,112.51265
468,891f160146fffff,109.024994
469,891f1601473ffff,114.84736
470,891f1601477ffff,108.563065
471,891f160147bffff,110.38835
472,891f1601483ffff,87.3617
473,891f1601487ffff,98.405266
474,891f160148bffff,87.07956
475,891f160148fffff,96.9581
476,891f1601493ffff,81.55016
477,891f1601497ffff,91.64376
478,891f160149bffff,78.22341
479,891f16014a3ffff,106.765594
480,891f16014a7ffff,93.736755
481,891f16014abffff,108.26808
482,891f16014afffff,96.425835
483,891f16014b3ffff,106.25039
484,891f16014b7ffff,102.442825
485,891f16014bbffff,105.42415
486,891f16014c3ffff,81.49543
487,891f16014c7ffff,86.20226
488,891f16014cbffff,82.8138
489,891f16014cfffff,88.652534
490,891f16014d7ffff,78.70248
491,891f1601503ffff,49.54412
492,891f1601507ffff,40.601482
493,891f160150fffff,39.073177
494,891f1601513ffff,58.493645
495,891f1601517ffff,50.11528
496,891f160151bffff,56.637527
497,891f1601523ffff,23.47447
498,891f1601527ffff,19.09539
499,891f160152bffff,23.706451
500,891f160152fffff,13.568479
501,891f1601533ffff,33.113197
502,891f1601537ffff,28.546137
503,891f160153bffff,31.377048
504,891f1601543ffff,65.110634
505,891f1601547ffff,55.414536
506,891f160154bffff,69.89273
507,891f160154fffff,59.61287
508,891f1601553ffff,71.58371
509,891f1601557ffff,63.919834
510,891f160155bffff,75.605316
511,891f1601563ffff,36.448895
512,891f160156bffff,44.251774
513,891f160156fffff,34.52419
514,891f1601577ffff,33.859505
515,891f160157bffff,50.563107
516,891f1601583ffff,70.711914
517,891f1601587ffff,61.923866
518,891f160158bffff,67.75772
519,891f160158fffff,58.388206
520,891f1601593ffff,79.3804
521,891f1601597ffff,71.24768
522,891f160159bffff,77.12061
523,891f16015a3ffff,46.07221
524,891f16015a7ffff,35.836838
525,891f16015abffff,44.111374
526,891f16015afffff,37.68883
527,891f16015b3ffff,52.836334
528,891f16015b7ffff,42.618027
529,891f16015bbffff,53.30537
530,891f16015c3ffff,77.850204
531,891f16015c7ffff,67.007515
532,891f16015cbffff,78.86491
533,891f16015cfffff,68.07325
534,891f16015d3ffff,85.026405
535,891f16015d7ffff,76.23753
536,891f16015dbffff,86.63931
537,891f1601603ffff,68.01077
538,891f1601607ffff,78.72529
539,891f160160bffff,62.208267
540,891f160160fffff,72.54668
541,891f1601613ffff,63.157333
542,891f1601617ffff,75.65913
543,891f160161bffff,56.040653
544,891f1601623ffff,94.37315
545,891f1601627ffff,105.09308
546,891f160162bffff,89.38721
547,891f160162fffff,96.85752
548,891f1601633ffff,87.08406
549,891f160163bffff,83.61194
550,891f1601643ffff,46.55375
551,891f1601647ffff,57.380245
552,891f160164bffff,44.636185
553,891f160164fffff,53.277985
554,891f1601653ffff,41.687366
555,891f1601657ffff,50.58136
556,891f160165bffff,39.848385
557,891f1601663ffff,74.35232
558,891f1601667ffff,84.4753
559,891f160166bffff,71.7439
560,891f160166fffff,79.195274
561,891f1601673ffff,67.82319
562,891f1601677ffff,78.44653
563,891f160167bffff,63.958164
564,891f1601687ffff,80.65718
565,891f160168bffff,60.489822
566,891f160168fffff,72.948715
567,891f1601697ffff,85.21549
568,891f16016a3ffff,93.19865
569,891f16016a7ffff,103.34081
570,891f16016abffff,85.01551
571,891f16016afffff,95.99488
572,891f16016b3ffff,92.761665
573,891f16016b7ffff,101.71714
574,891f16016bbffff,82.8031
575,891f16016c7ffff,56.15189
576,891f16016cbffff,30.08245
577,891f16016cfffff,44.97452
578,891f1601a5bffff,15.241948
579,891f1601adbffff,4.5415993
580,891f1601c13ffff,32.30559
581,891f1601c1bffff,26.165972
582,891f1601c53ffff,10.287939
583,891f1601c5bffff,2.65158
584,891f1601c83ffff,35.257248
585,891f1601c8bffff,29.131512
586,891f1601c93ffff,31.513672
587,891f1601c97ffff,39.91061
588,891f1601c9bffff,24.565805
589,891f1601cc3ffff,15.396721
590,891f1601cc7ffff,26.270334
591,891f1601ccbffff,8.311711
592,891f1601ccfffff,19.012682
593,891f1601cd3ffff,9.193132
594,891f1601cd7ffff,19.726225
595,891f1601cdbffff,5.204697
596,891f1601e0bffff,2.4791558
597,891f1601e13ffff,2.3846064
598,891f1601e1bffff,1.9294809
599,891f1601e43ffff,5.0308723
600,891f1601e47ffff,3.518354
601,891f1601e4bffff,11.498799
602,891f1601e4fffff,3.0989802
603,891f1601e53ffff,11.995676
604,891f1601e57ffff,4.0348444
605,891f1601e5bffff,14.982953
606,891f1601e73ffff,8.303131
607,891f1601e7bffff,6.7396803
608,891f1601e83ffff,2.3684678
609,891f1601e8bffff,3.3113298
610,891f1601e93ffff,6.9983277
611,891f1601e97ffff,1.8238033
612,891f1601e9bffff,6.7605076
613,891f1601ec3ffff,13.325809
614,891f1601ec7ffff,3.2429638
615,891f1601ecbffff,19.094542
616,891f1601ecfffff,8.60246
617,891f1601ed3ffff,18.60749
618,891f1601ed7ffff,9.198964
619,891f1601edbffff,22.830305
620,891f1602003ffff,2.3682418
621,891f1602007ffff,2.755032
622,891f160200fffff,11.801927
623,891f1602013ffff,8.549136
624,891f1602017ffff,7.481815
