,hex8,Value,lat,lng,suitability
2220,881f16ce49fffff,0.66364664,52.353749771607134,6.51486656776303,66.4
2221,881f16ce4bfffff,0.7234768,52.35281565335532,6.527382115023623,72.3
2222,881f16ce4dfffff,0.6655356,52.34777010337344,6.506054163195393,66.6
2223,881f16ce51fffff,0.76158124,52.3509432002492,6.552414963485489,76.2
2224,881f16ce53fffff,0.758508,52.35000486493549,6.56493226237921,75.9
2225,881f16ce55fffff,0.70880485,52.34496547612029,6.543597546361036,70.9
2226,881f16ce57fffff,0.81201863,52.34402778947437,6.556113175792725,81.2
2227,881f16ce59fffff,0.70506454,52.35785762816603,6.548716057916029,70.5
2228,881f16ce5bfffff,0.70078427,52.356920050047954,6.561234444089415,70.1
2229,881f16ce5dfffff,0.75002974,52.35188012964596,6.539898247315636,75.0
2230,881f16ce61fffff,0.72075063,52.327961400675065,6.504647638176534,72.1
2231,881f16ce63fffff,0.77271765,52.32702706246485,6.517157672797223,77.3
2232,881f16ce65fffff,0.6451724,52.32197953706614,6.495840142670097,64.5
2233,881f16ce67fffff,0.7456149,52.321045845727824,6.508348506522212,74.6
2234,881f16ce69fffff,0.69304776,52.334875972923136,6.50094607681017,69.3
2235,881f16ce6bfffff,0.7384582,52.33394239220885,6.513457196086604,73.8
2236,881f16ce6dfffff,0.6405983,52.32889433446424,6.492138190209711,64.1
2237,881f16ce81fffff,0.7145603,52.32547692504639,6.626083499479262,71.5
2238,881f16ce83fffff,0.71080166,52.32452928664109,6.638600426476009,71.1
2239,881f16ce85fffff,0.64564365,52.31950177007251,6.617258931040835,64.6
2240,881f16ce87fffff,0.65505815,52.31855478175277,6.629774193684891,65.5
2241,881f16ce89fffff,0.77176917,52.332398085895086,6.6223921129232375,77.2
2242,881f16ce8bfffff,0.7506548,52.33145120414717,6.6349101292341786,75.1
2243,881f16ce8dfffff,0.69993836,52.32642315665482,6.613567148061859,70.0
2244,881f16ce91fffff,0.726616,52.3295532190876,6.65994788534163,72.7
2245,881f16ce93fffff,0.77657014,52.32860211532192,6.672467622826371,77.7
2246,881f16ce95fffff,0.6837973,52.323580241211616,6.651117927896961,68.4
2247,881f16ce97fffff,0.71166444,52.32262978853095,6.6636360025866495,71.2
2248,881f16ce99fffff,0.8072515,52.33647566721952,6.6562590758362425,80.7
