IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID,x,y
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"524393",hallehuisgroep (hallehuisboerderij),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,622.000000000000000,6.5450671909,52.3238346025
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"527052",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,625.000000000000000,6.7289544411,52.3328677019
,Rijksbeschermd,,Ja,"7491",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,630.000000000000000,6.6912605684,52.3753865332
,Rijksbeschermd,,Ja,"7493",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,631.000000000000000,6.6435088409,52.3501035705
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"7546",hallehuisgroep (hallehuis- middenlangsdeeltype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,632.000000000000000,6.6168951738,52.2383476762
,Rijksbeschermd,,Ja,"7549",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,633.000000000000000,6.6671784754,52.2835425995
,Rijksbeschermd,,Ja,"7550",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,634.000000000000000,6.6665792231,52.2845766354
,Rijksbeschermd,,Ja,"7551",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,635.000000000000000,6.7298931439,52.2716957138
,Rijksbeschermd,,Ja,"7552",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,636.000000000000000,6.6938112976,52.3067267176
,Rijksbeschermd,,Ja,"7553",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,637.000000000000000,6.6459791904,52.2503368873
,Rijksbeschermd,,Ja,"7555",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,639.000000000000000,6.6219377210,52.2656899718
,Rijksbeschermd,,Ja,"7556",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,640.000000000000000,6.6178445505,52.2429753316
,Rijksbeschermd,,Ja,"9916",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,652.000000000000000,6.7609613357,52.2992168332
,Rijksbeschermd,,Ja,"9924",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,653.000000000000000,6.7618068174,52.3029715642
,Rijksbeschermd,,Ja,"9925",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,654.000000000000000,6.7324998748,52.3068642109
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"528762",hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,655.000000000000000,6.5464240813,52.1975195779
,Rijksbeschermd,,Ja,"529139",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,656.000000000000000,6.5795146117,52.2030059672
,Rijksbeschermd,,Ja,"21396",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,124.000000000000000,6.4426214022,52.4363738483
,Rijksbeschermd,,Ja,"21398",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,125.000000000000000,6.4533832445,52.3873549559
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"21400",hallehuisgroep (hallehuis- middenlangsdeeltype),boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,126.000000000000000,6.4505356345,52.4407522596
,Rijksbeschermd,,Ja,"21402",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,127.000000000000000,6.4627659631,52.3998985970
,Rijksbeschermd,,Ja,"21404",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,128.000000000000000,6.4698342615,52.4071326582
,Rijksbeschermd,,Ja,"21406",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,129.000000000000000,6.4586031244,52.4082324075
,Rijksbeschermd,,Ja,"21518",onbekend,boerderijtypen,,landbouw,Gebouwd erfgoed,130.000000000000000,6.7544646991,52.2432373717
,Rijksbeschermd,,Ja,"21520",onbekend,boerderijtypen,vroegmoderne tijd,landbouw,Gebouwd erfgoed,131.000000000000000,6.7629959744,52.2696767019
