hex9,value
89196948dabffff,15
89196948db7ffff,25
89196948dc3ffff,10
89196948dc7ffff,15
89196948ddbffff,5
89196948e07ffff,10
89196948e0fffff,10
89196948e2bffff,5
89196948e2fffff,5
89196948e3bffff,5
89196948e47ffff,5
89196948e4fffff,10
89196948e73ffff,5
89196948e77ffff,5
89196948e7bffff,25
89196949003ffff,655
89196949007ffff,400
8919694900bffff,510
8919694900fffff,670
89196949013ffff,35
8919694901bffff,310
89196949023ffff,550
89196949027ffff,205
8919694902bffff,330
8919694902fffff,210
89196949033ffff,295
89196949037ffff,750
8919694903bffff,635
89196949043ffff,875
89196949047ffff,825
8919694904bffff,110
8919694904fffff,65
89196949053ffff,250
89196949057ffff,740
8919694905bffff,935
89196949063ffff,45
8919694906fffff,245
89196949073ffff,715
89196949077ffff,660
8919694907bffff,105
89196949083ffff,960
89196949087ffff,650
8919694908bffff,325
8919694908fffff,705
89196949093ffff,290
89196949097ffff,950
8919694909bffff,25
891969490a3ffff,1030
891969490a7ffff,515
891969490abffff,820
891969490afffff,770
891969490b3ffff,615
891969490b7ffff,580
891969490bbffff,1025
891969490c3ffff,590
891969490c7ffff,80
891969490cbffff,830
891969490cfffff,1040
891969490d3ffff,700
891969490d7ffff,455
891969490dbffff,560
89196949113ffff,5
89196949143ffff,15
8919694914bffff,140
8919694914fffff,55
89196949153ffff,150
89196949157ffff,10
8919694915bffff,75
89196949187ffff,25
8919694918bffff,10
8919694919bffff,115
891969491a3ffff,60
891969491a7ffff,70
891969491b3ffff,25
891969491bbffff,60
891969491c3ffff,185
891969491c7ffff,30
891969491cbffff,240
891969491d3ffff,670
891969491d7ffff,85
891969491dbffff,590
89196949243ffff,270
89196949247ffff,5
8919694924bffff,510
8919694924fffff,10
89196949253ffff,490
89196949257ffff,20
8919694925bffff,660
8919694926bffff,25
8919694926fffff,5
8919694927bffff,25
89196949297ffff,210
891969492c3ffff,40
891969492cbffff,210
891969492cfffff,110
891969492d3ffff,5
891969492dbffff,55
89196949303ffff,300
89196949307ffff,600
8919694930bffff,795
8919694930fffff,715
89196949313ffff,90
89196949317ffff,750
8919694931bffff,175
89196949323ffff,400
8919694932bffff,525
8919694932fffff,150
89196949333ffff,625
89196949337ffff,110
8919694933bffff,680
89196949343ffff,275
89196949347ffff,750
8919694934bffff,75
8919694934fffff,205
89196949353ffff,105
89196949357ffff,665
8919694935bffff,70
89196949363ffff,400
89196949367ffff,310
8919694936bffff,505
8919694936fffff,190
89196949373ffff,520
89196949377ffff,105
8919694937bffff,455
