hex9,value
89196949c27ffff,35
89196949c2bffff,35
89196949c2fffff,70
89196949c3bffff,75
89196949c43ffff,10
89196949c47ffff,180
89196949c4fffff,5
89196949c53ffff,145
89196949c57ffff,225
89196949c5bffff,0
89196949c73ffff,100
89196949c77ffff,40
89196949cc3ffff,270
89196949cc7ffff,5
89196949ccbffff,160
89196949ccfffff,270
89196949cd3ffff,75
89196949cdbffff,130
89196949d0bffff,10
89196949d1bffff,0
89196949d47ffff,0
89196949db3ffff,0
89196949dc7ffff,10
89196949dd3ffff,5
89196949dd7ffff,0
89196949e2fffff,0
89196949ea3ffff,5
89196949eafffff,5
8919694a017ffff,15
8919694a033ffff,0
8919694a037ffff,5
8919694a04bffff,35
8919694a04fffff,5
8919694a063ffff,0
8919694a06bffff,25
8919694a06fffff,0
8919694a07bffff,10
8919694a087ffff,20
8919694a08bffff,20
8919694a08fffff,30
8919694a093ffff,15
8919694a097ffff,25
8919694a09bffff,30
8919694a0b3ffff,5
8919694a0cbffff,5
8919694a107ffff,105
8919694a113ffff,140
8919694a117ffff,180
8919694a11bffff,5
8919694a133ffff,35
8919694a137ffff,20
8919694a177ffff,0
8919694a183ffff,10
8919694a187ffff,25
8919694a18bffff,160
8919694a18fffff,225
8919694a19bffff,5
8919694a1a3ffff,75
8919694a1a7ffff,10
8919694a1abffff,285
8919694a1afffff,120
8919694a1bbffff,170
8919694a1c7ffff,10
8919694a1cfffff,10
8919694a227ffff,215
8919694a22fffff,135
8919694a233ffff,0
8919694a237ffff,5
8919694a293ffff,35
8919694a297ffff,60
8919694a2cbffff,5
8919694a2dbffff,5
8919694a347ffff,0
8919694a34bffff,0
8919694a353ffff,80
8919694a35bffff,115
8919694a363ffff,0
8919694a367ffff,0
8919694a383ffff,5
8919694a3a3ffff,0
8919694a3bbffff,0
8919694a3cbffff,80
8919694a3cfffff,10
8919694a3dbffff,10
8919694a403ffff,35
8919694a407ffff,160
8919694a40bffff,40
8919694a40fffff,20
8919694a413ffff,5
8919694a417ffff,95
8919694a41bffff,60
8919694a423ffff,65
8919694a427ffff,145
8919694a42bffff,35
8919694a433ffff,290
8919694a437ffff,100
8919694a43bffff,5
8919694a447ffff,10
8919694a457ffff,25
8919694a467ffff,15
8919694a477ffff,10
8919694a483ffff,140
8919694a487ffff,380
8919694a48bffff,10
8919694a48fffff,325
8919694a493ffff,20
8919694a497ffff,115
8919694a4a3ffff,240
8919694a4a7ffff,205
8919694a4abffff,185
8919694a4afffff,240
8919694a4b3ffff,215
8919694a4b7ffff,130
8919694a4bbffff,250
8919694a4c3ffff,25
8919694a4c7ffff,50
8919694a4cfffff,5
8919694a4d3ffff,30
8919694a4d7ffff,0
8919694a543ffff,115
8919694a547ffff,60
8919694a54fffff,5
8919694a553ffff,25
8919694a55bffff,95
8919694a563ffff,0
8919694a567ffff,0
8919694a573ffff,20
8919694a57bffff,40
8919694a5c3ffff,10
8919694a5cbffff,10
8919694a5d3ffff,5
8919694a5dbffff,0
8919694a60fffff,55
8919694a613ffff,0
8919694a61bffff,0
8919694a62bffff,30
8919694a62fffff,5
8919694a657ffff,5
8919694a663ffff,255
8919694a667ffff,35
8919694a66fffff,10
8919694a673ffff,90
8919694a677ffff,120
8919694a67bffff,10
8919694a6c7ffff,10
8919694a80fffff,135
8919694a813ffff,20
8919694a843ffff,0
8919694a847ffff,5
8919694a84fffff,5
8919694a86fffff,0
8919694a877ffff,25
8919694a87bffff,0
8919694a887ffff,20
8919694a88bffff,10
8919694a88fffff,0
8919694a893ffff,25
8919694a897ffff,110
8919694a8a3ffff,55
8919694a8a7ffff,495
8919694a8afffff,150
8919694a8b7ffff,240
8919694a8bbffff,0
8919694a8c7ffff,10
8919694a8cbffff,5
8919694a8cfffff,5
8919694a903ffff,375
8919694a907ffff,460
8919694a90bffff,315
8919694a90fffff,425
8919694a913ffff,320
8919694a917ffff,255
8919694a91bffff,235
8919694a923ffff,350
8919694a92bffff,80
8919694a933ffff,430
8919694a937ffff,85
8919694a93bffff,375
8919694a943ffff,325
8919694a947ffff,425
8919694a94bffff,300
8919694a94fffff,415
8919694a953ffff,135
8919694a957ffff,440
8919694a95bffff,5
8919694a963ffff,175
8919694a967ffff,330
8919694a96bffff,190
8919694a96fffff,170
8919694a973ffff,440
8919694a977ffff,190
8919694a97bffff,360
8919694a983ffff,405
8919694a987ffff,310
8919694a98bffff,170
8919694a98fffff,380
8919694a993ffff,220
8919694a997ffff,290
8919694a99bffff,230
8919694a9a3ffff,275
8919694a9a7ffff,260
8919694a9abffff,265
8919694a9afffff,200
8919694a9b3ffff,240
8919694a9b7ffff,455
8919694a9bbffff,200
8919694a9c3ffff,30
8919694a9c7ffff,360
8919694a9cbffff,0
8919694a9cfffff,290
8919694a9d3ffff,85
8919694a9d7ffff,95
8919694a9dbffff,225
8919694aa03ffff,290
8919694aa07ffff,105
8919694aa0bffff,240
8919694aa0fffff,300
8919694aa13ffff,365
8919694aa17ffff,305
8919694aa1bffff,275
8919694aa33ffff,0
8919694aa43ffff,20
8919694aa47ffff,235
8919694aa4fffff,95
8919694aa57ffff,50
8919694aa63ffff,240
8919694aa6bffff,175
8919694aa73ffff,320
8919694aa77ffff,10
8919694aa7bffff,360
8919694aa83ffff,35
8919694aa8bffff,25
8919694aa8fffff,130
8919694aa93ffff,10
8919694aa9bffff,20
8919694aaa3ffff,15
8919694aaa7ffff,0
8919694aaabffff,90
8919694aaafffff,5
8919694aab7ffff,10
8919694aac7ffff,145
8919694aacfffff,45
8919694aad7ffff,5
8919694ab0bffff,5
8919694ab87ffff,35
8919694abb3ffff,165
8919694abb7ffff,225
8919694ac03ffff,30
8919694ac07ffff,255
8919694ac13ffff,145
8919694ac17ffff,420
8919694ac1bffff,200
8919694ac23ffff,220
8919694ac27ffff,240
8919694ac2bffff,5
8919694ac2fffff,230
8919694ac33ffff,300
8919694ac37ffff,545
8919694ac3bffff,10
8919694ac53ffff,20
8919694ac8fffff,40
8919694aca3ffff,145
8919694aca7ffff,450
8919694acabffff,600
8919694acafffff,270
8919694acb3ffff,105
