hex9,value
89196949623ffff,370
89196949627ffff,385
8919694962bffff,110
8919694962fffff,265
89196949633ffff,90
89196949637ffff,315
8919694963bffff,10
8919694966bffff,0
8919694968fffff,5
891969496a3ffff,110
891969496a7ffff,310
891969496abffff,60
891969496afffff,295
891969496b3ffff,55
891969496b7ffff,5
891969496bbffff,0
891969496c3ffff,0
891969496cbffff,0
891969496cfffff,0
891969496d7ffff,5
89196949817ffff,0
8919694982bffff,5
89196949843ffff,5
89196949847ffff,0
8919694984fffff,55
89196949857ffff,5
89196949867ffff,10
8919694986bffff,0
891969498abffff,0
891969498b7ffff,0
891969498bbffff,0
891969498cfffff,5
89196949923ffff,335
89196949927ffff,375
8919694992bffff,145
8919694992fffff,305
89196949933ffff,40
89196949937ffff,385
8919694993bffff,25
89196949947ffff,0
89196949963ffff,165
89196949967ffff,325
8919694996bffff,105
8919694996fffff,260
89196949977ffff,100
891969499afffff,30
89196949a13ffff,75
89196949a17ffff,0
89196949a1bffff,10
89196949a37ffff,0
89196949a43ffff,0
89196949a4fffff,5
89196949a57ffff,30
89196949a83ffff,0
89196949a87ffff,0
89196949a8fffff,15
89196949a97ffff,5
89196949aa3ffff,135
89196949ab3ffff,160
89196949ab7ffff,185
89196949abbffff,50
89196949ac3ffff,0
89196949ac7ffff,0
89196949acbffff,0
89196949acfffff,0
89196949b07ffff,0
89196949b23ffff,15
89196949b27ffff,90
89196949b2bffff,5
89196949b2fffff,380
89196949b37ffff,50
89196949b93ffff,0
89196949c03ffff,115
89196949c0bffff,310
89196949c0fffff,45
89196949c1bffff,195
89196949c23ffff,20
89196949c27ffff,40
89196949c2bffff,40
89196949c2fffff,70
89196949c3bffff,30
89196949c43ffff,15
89196949c47ffff,170
89196949c4fffff,0
89196949c53ffff,135
89196949c57ffff,260
89196949c5bffff,0
89196949c73ffff,95
89196949c77ffff,35
89196949cc3ffff,275
89196949cc7ffff,0
89196949ccbffff,150
89196949ccfffff,285
89196949cd3ffff,50
89196949cdbffff,150
89196949d0bffff,15
89196949d1bffff,0
89196949d47ffff,0
89196949db3ffff,5
89196949dc7ffff,0
89196949dd3ffff,10
89196949dd7ffff,0
89196949e2fffff,0
89196949ea3ffff,5
89196949eafffff,10
8919694a017ffff,10
8919694a033ffff,0
8919694a037ffff,10
8919694a04bffff,25
8919694a04fffff,10
8919694a063ffff,0
8919694a06bffff,15
8919694a06fffff,0
8919694a07bffff,5
8919694a087ffff,15
8919694a08bffff,20
8919694a08fffff,25
8919694a093ffff,10
8919694a097ffff,25
8919694a09bffff,20
8919694a0b3ffff,15
8919694a0cbffff,0
8919694a107ffff,100
8919694a113ffff,120
8919694a117ffff,220
8919694a11bffff,0
8919694a133ffff,30
8919694a137ffff,15
8919694a177ffff,0
8919694a183ffff,10
8919694a187ffff,20
8919694a18bffff,145
8919694a18fffff,215
8919694a19bffff,5
8919694a1a3ffff,115
8919694a1a7ffff,10
8919694a1abffff,320
8919694a1afffff,115
8919694a1bbffff,170
8919694a1c7ffff,10
8919694a1cfffff,5
8919694a227ffff,225
8919694a22fffff,125
8919694a233ffff,0
8919694a237ffff,15
8919694a293ffff,40
8919694a297ffff,55
8919694a2cbffff,0
8919694a2dbffff,10
8919694a347ffff,0
8919694a34bffff,5
8919694a353ffff,85
8919694a35bffff,95
8919694a363ffff,0
8919694a367ffff,0
8919694a383ffff,0
8919694a3a3ffff,0
8919694a3bbffff,0
8919694a3cbffff,80
8919694a3cfffff,0
8919694a3dbffff,10
8919694a403ffff,35
8919694a407ffff,165
8919694a40bffff,40
8919694a40fffff,20
8919694a413ffff,0
8919694a417ffff,100
8919694a41bffff,45
8919694a423ffff,70
8919694a427ffff,160
8919694a42bffff,30
8919694a433ffff,265
8919694a437ffff,100
8919694a43bffff,5
8919694a447ffff,5
8919694a457ffff,20
8919694a467ffff,5
8919694a477ffff,0
8919694a483ffff,120
8919694a487ffff,365
8919694a48bffff,10
8919694a48fffff,335
8919694a493ffff,15
8919694a497ffff,110
8919694a4a3ffff,245
8919694a4a7ffff,190
8919694a4abffff,190
8919694a4afffff,270
8919694a4b3ffff,235
8919694a4b7ffff,115
8919694a4bbffff,270
8919694a4c3ffff,30
8919694a4c7ffff,35
8919694a4cfffff,5
8919694a4d3ffff,25
8919694a4d7ffff,0
8919694a543ffff,105
8919694a547ffff,40
8919694a54fffff,15
8919694a553ffff,30
8919694a55bffff,75
8919694a563ffff,0
8919694a567ffff,0
8919694a573ffff,20
8919694a57bffff,25
8919694a5c3ffff,10
8919694a5cbffff,10
8919694a5d3ffff,10
8919694a5dbffff,0
8919694a60fffff,55
8919694a613ffff,0
8919694a61bffff,0
8919694a62bffff,30
8919694a62fffff,0
8919694a657ffff,0
8919694a663ffff,230
8919694a667ffff,30
8919694a66fffff,10
8919694a673ffff,80
8919694a677ffff,110
8919694a67bffff,10
8919694a6c7ffff,10
8919694a80fffff,0
8919694a813ffff,0
8919694a843ffff,5
8919694a847ffff,5
8919694a84fffff,0
8919694a86fffff,0
8919694a877ffff,0
8919694a87bffff,5
8919694a887ffff,15
